Question,Answer
Декан,Шашкин Александр Иванович
Телефон деканата,"+7 (473) 220-82-66"
Шашкин Александр Иванович,"доктор физико-математических наук, профессор, заведующий кафедрой математического и прикладного анализа, член президиума УМО классических университетов, академик International Academy of Refrigeration. Зам. председателя специализированного совета по защите кандидатских диссертаций (специальность – 01.02.04), член докторского совета (специальность – 01.02.04). Руководитель грантов РФФИ."
Заместитель декана по научной работе,Задорожний Владимир Григорьевич
Задорожний Владимир Григорьевич,"доктор физико-математических наук, профессор, Соросовский профессор, член Американского математического общества, заведующий кафедрой нелинейных колебаний"
Заместитель декана по учебной работе (дневное отделение), Лазарев Константин Петрович
Лазарев Константин Петрович,"кандидат физико-математических наук, доцент кафедры вычислительной математики и прикладных информационных технологий"
Заместитель декана по довузовской подготовке,Каширина Ирина Леонидовна
"Какие существуют направления обучения на ПММ, пмм Факультет прикладной математики, информатики и механики","Направления обучения: Направления бакалавриата:Прикладная математика и информатика, Математическое обеспечение и администрирование информационных систем,Механика и математическое моделирование,Фундаментальные информатика и информационные технологии,Бизнес-информатика,Прикладная информатика. Направления магистратуры: Математическое обеспечение и администрирование информационных систем,Бизнес-информатика,Прикладная математика и информатика,Механика и математическое моделирование,Фундаментальные информатика и информационные технологии"
Здравствуйте! Есть ли на Вашем факультете заочная форма обучения?,Добрый день! Есть в магистратуре по направлению Бизнес-информатика
